@Default:LikesByArtist
@UpdateSort
# a playlist for all the completely incidental cool stuff I found while trimming down those female fronted black metal lists

2IKNB699QaQBWfehTCm7Ux #  HECATE
2jgBQPzCCbTspfzv8Z0Fu3 #  Туман
2K5S4DKFct66G76ZVyJA0i #  Valkyrie
2kOA8kfaSnjun28IDUqFoz #  Trobar Clus
2M25CQcoRUlPzEiXhRneEx #  Dismal
2ozqW0fCkcFYds6DQi9bop #  Sinister
2QLKxqyQRtFp77DEelSDFe #  Providence
2qtNQPW8w5OIA1vMeni86a #  Enrico D'Amico
2rMCDuYsBN1j6JOSUAEWiw #  Detest
2SkzcKYjJ0fRWKZMTB2DMC #  Moonglade
2SntDYlqeOdiW2KeB48d2b #  Mythic
2T2OU4YxN2vcvqSILgl8wY #  Uranus
2TK6zWunJejAD4hzioyQ36 #  Saros
2uGx12OVkVeQ5z6jOhsRoR #  Dask
2vIkCRyQkyCAIE2SKK29xf #  Streben
2vWU6Nh2uoapOUL7MtEJfe #  Zad
2W2AeHqNIUvhlOtqt1u6Ry #  Providence
2WDaFa7CWykoSxVyh2jkBr #  Markhor
2xX40yn6TfOeCVFMWjBGFG #  Craven
2YaYNpTFVmEgw57N27R8Cu #  Craven
2yQN9MA0I58zAeSbzieGMS #  Providence
2ytXAUlfstEUhiJof7mdPD #  NATAN
2zjsuG7xmBsvyImhJrwntK #  Dehumanize
31IU9U4cHAO5tPOy8qtTWE #  Evol
31lYb6bPaTj3ys2RFmjQ81 #  AD Inferna
36AuD5OkRaB2QcWUQ2bFeH #  Desecration
36r4ltZmLqtiDBdAs9XSqn #  NxxxxxS
3ACbVQlfUaW0Qm2DDe5T18 #  Evol
3BfQJmKR1TQxI7RTBiJUWH #  Sedna
3c8zLbcRtk5kjttSC73GjM #  Produced By Kamikaze
3etXoHA3i5qQLCzGtMfECO #  Evol
3FO3yG4PDHGfbosZX64irS #  Lodge
3G1p8qrQt86s9XYfeuQqma #  Ragana
3GW5Tp2rF8RTV90ZngJPwF #  Straightout
3h8ai5fGAudfKEhxUTBIad #  Frostbite
3HBK12ak0DI8wGf0RgW2SL #  Apostasy
3jJ1rOmznRHDDGnU60vO6i #  VASSLINE
3k9OoG8uV3Z67EUHHYPnYI #  Saros
3kdPTAYD5fOnq68OSpgvWD #  Joyless
3mRwwqUZr0C6qv48KQaTA1 #  Zad
3nzs6bowitMirGXyGQ72Qx #  Amesoeurs
3oMuALMGNkRZ5OZaktx8s0 #  Luis Add
3P4TGIauG2RsXGfBDSTXom #  Dos
3PEz2oW8tncfz4La5JaDtp #  Lodge
3Py6IDRA3OVdrQxn3kC67i #  Laughing Buddha
3qcJaihgzOvKmOg9UAJ2KA #  Gawk
3WCXePZ1J03e2VVqU5sWWK #  Gorgon
3xf9tq8VZybgZ48QnxyTNr #  MOR
3XycbmcKERStv5IxYhBgZM #  Afterlife
40Tvc0YqFTtmJgaqnNiSX4 #  Michy De Angelis
40X7tXw4Tk4m5WFDfGJnZe #  Sonny Zero
428JBcwV33GXF2d3GqWYHO #  Craven
43qiJZNk28uEng7UEBJVBz #  Dark Tales
450qB1X38iSr2kwCXdDpeV #  TRINACRIA
454eECORMCJhObH01Bm1Pv #  Bayer Full
45bQG8vd1yDjmDiSPC23As #  False
46BJbJncKOdTse8p3KsIU2 #  DAKU
49GFsYWe0dutqMzKp8iXWD #  Sinister
4Aev2C886Vrz69nU66gzi2 #  Evol
4bdqv1CK6D4Teits7wlKVP #  Krang
4bSt8UpLlu3w9PVMbbM2Cp #  NYX
4bwPsEDJ85jtEklzs9BTYK #  Despise
4C6xDIhVPYAh3CuWtpW4u5 #  Mythic
4dhMdOjG35quYoRkRSU6bK #  Frostbite
4DX8qGEmFCvPud2zyuhyTH #  Evol
4euDK3DaDCdpKyXQmIPoQF #  SheveR
4EvMsRay62teze0MoH5idT #  Hexer
4FAHRqEgMiutvBnTeoXwyS #  JOYLESS
4gHmTkSAd0VBDGgtsekgts #  Somnus
4GoSrVx3CrnWCvJGbOCduF #  Frank K Pini
4h6fF0qhOl9MNjE85UoWX5 #  nemA
